10,3.962914711899743e-28
20,4.8266525487182945e-28
30,5.322680437798005e-28
40,5.667846215035265e-28
50,5.931270389403323e-28
75,6.399757254081282e-28
100,6.723583832534366e-28
150,7.165443609411761e-28
200,7.465428743304761e-28
250,7.687766042506393e-28
300,7.861091497719582e-28
350,8.000846360871734e-28
400,8.116329287975278e-28
450,8.213585897162937e-28
500,8.296755838915549e-28
550,8.36878798350214e-28
600,8.43184681132074e-28
650,8.487561229441252e-28
700,8.537182306935428e-28
750,8.581688875428563e-28
800,8.621848576441615e-28
850,8.658311016345759e-28
900,8.691559888291276e-28
950,8.722021422226241e-28
1000,8.750043421144018e-28
1300,8.880505726213675e-28
1700,8.99315678606066e-28
2000,9.052171768166087e-28
2500,9.123013610933284e-28
3000,9.173003927849369e-28
4000,9.239277055915922e-28
5000,9.281487382009145e-28
6000,9.310864916709094e-28
7000,9.3325548374489e-28
8000,9.349260367321244e-28
9000,9.362542475315235e-28
10000,9.373368453632664e-28
15000,9.40709487315129e-28
20000,9.424818538157116e-28
25000,9.435806390010154e-28
35000,9.44877200138442e-28
50000,9.458860310439105e-28
100000,9.471198884759591e-28
