10,2.49373575322252e-28
20,3.1009918831435922e-28
30,3.4557267746463246e-28
40,3.704247919825483e-28
50,3.8945326609623183e-28
75,4.2339368787082375e-28
100,4.469413302578025e-28
150,4.793028820184503e-28
200,5.015711499353336e-28
250,5.18340793233187e-28
300,5.316347223485962e-28
350,5.425294882223712e-28
400,5.516700923906476e-28
450,5.594751167366387e-28
500,5.662336328201998e-28
550,5.721519163174686e-28
600,5.773840784917935e-28
650,5.820471501775993e-28
700,5.862325556707875e-28
750,5.9001252298529785e-28
800,5.9344511736279425e-28
850,5.965776945887566e-28
900,5.994492035306433e-28
950,6.020919713306498e-28
1000,6.045332574713157e-28
1300,6.160257927495752e-28
1700,6.26117771809291e-28
2000,6.314682449042527e-28
2500,6.379522152792566e-28
3000,6.425697917333715e-28
4000,6.487498864598852e-28
5000,6.52724264948474e-28
6000,6.555095085464302e-28
7000,6.575767663751923e-28
8000,6.591756496871583e-28
9000,6.604512363687023e-28
10000,6.6149390974238995e-28
15000,6.647604828948303e-28
20000,6.664891022065433e-28
25000,6.6756533987598365e-28
35000,6.688400544341928e-28
50000,6.698357517857845e-28
100000,6.710585854560673e-28
