10,2.4397639441275803e-27
20,2.7757050598551796e-27
30,2.9619490361739644e-27
40,3.088183739981415e-27
50,3.1817421236550658e-27
75,3.339172894794098e-27
100,3.438913499335979e-27
150,3.560311016323583e-27
200,3.632536606970225e-27
250,3.680934856180745e-27
300,3.715845054361609e-27
350,3.7423271411961976e-27
400,3.763165477386092e-27
450,3.780026997553101e-27
500,3.7939740456176875e-27
550,3.805717442167988e-27
600,3.8157517336491795e-27
650,3.824432171334748e-27
700,3.832020931975571e-27
750,3.838715702860955e-27
800,3.844668716349955e-27
850,3.849999297057455e-27
900,3.854801973327542e-27
950,3.859152965329626e-27
1000,3.863114528244466e-27
1300,3.881043972713038e-27
1700,3.895848910517145e-27
2000,3.903352597988311e-27
2500,3.912127886142994e-27
3000,3.918164099786538e-27
4000,3.9259625856270675e-27
5000,3.9308043919545745e-27
6000,3.9341148836366775e-27
7000,3.936526934969183e-27
8000,3.938365715046089e-27
9000,3.939815648958051e-27
10000,3.940989423178932e-27
15000,3.944598725671331e-27
20000,3.946465539179438e-27
25000,3.947612049651647e-27
35000,3.948954333219082e-27
50000,3.949989912346238e-27
100000,3.9512456818507814e-27
