10,1.7919986566921852e-28
20,2.262796094949344e-28
30,2.541666237226347e-28
40,2.7383165380957e-28
50,2.889404207402127e-28
75,3.159650976774622e-28
100,3.3475706351229753e-28
150,3.6065384007228124e-28
200,3.7856415278403734e-28
250,3.9214226494903707e-28
300,4.0299030976905228e-28
350,4.119554505967288e-28
400,4.1954173244687504e-28
450,4.260745906109152e-28
500,4.317769859262478e-28
550,4.368089262400314e-28
600,4.41289246117772e-28
650,4.453087400102886e-28
700,4.489383765324095e-28
750,4.522347243449116e-28
800,4.552433789366838e-28
850,4.580019269080518e-28
900,4.6054140935985775e-28
950,4.628877619623121e-28
1000,4.650629969524564e-28
1300,4.7540353326317145e-28
1700,4.846178790216402e-28
2000,4.895528726185632e-28
2500,4.955799691476165e-28
3000,4.999040117172515e-28
4000,5.057351099101988e-28
5000,5.095135226518225e-28
6000,5.121760878745814e-28
7000,5.14160613577994e-28
8000,5.157006874613091e-28
9000,5.1693278779251965e-28
10000,5.179422722747557e-28
15000,5.21119552684282e-28
20000,5.228107537394563e-28
25000,5.238674697838117e-28
35000,5.251164839105934e-28
50000,5.261072686781912e-28
100000,5.273202720983664e-28
